Type,ID,Name,Address,Category,Price,AreaCode,Dates,Description
Accommodation,2583856,청풍자연농원,전라남도 화순군 청풍면 석치길 22-3 null,Hotel,160000,38,N/A,N/A
Accommodation,2570188,청풍헌(시랑골한옥스테이),전북특별자치도 완주군 고산면 동봉길 20-6 null,B02011600,82000,37,N/A,N/A
Accommodation,3049908,청해장 모텔,강원특별자치도 양양군 양양읍 서원길 8 null,B02010900,179000,,N/A,N/A
Accommodation,2679044,청향재,서울특별시 은평구 진관길 18 (진관동),B02011600,186000,1,N/A,N/A
Accommodation,2913664,청호정펜션,강원특별자치도 영월군 영월읍 선돌길 249 null,Guesthouse,88000,32,N/A,N/A
Accommodation,2932900,청휘당,경상북도 성주군 신파1길 28-6 청휘당,B02011600,214000,35,N/A,N/A
Accommodation,2570521,체르맛트,강원특별자치도 평창군 진부면 지령동길 51 null,Guesthouse,88000,32,N/A,N/A
Accommodation,319567,체리모텔,광주광역시 서구 상무연하로 45 null,B02010900,203000,5,N/A,N/A
Accommodation,2761830,초가집황토펜션,강원특별자치도 평창군 봉평면 태기로 701-7 null,Guesthouse,92000,32,N/A,N/A
Accommodation,3102226,초당하우스,강원특별자치도 강릉시 초당순두부길55번길 24 (초당동) null,Guesthouse,81000,32,N/A,N/A
Accommodation,138340,초록바다펜션,강원특별자치도 양양군 강현면 장산3길 56-4 null,Guesthouse,201000,32,N/A,N/A
Accommodation,2579456,초록빛바다펜션,경상남도 통영시 산양읍 이운길 102 null,Guesthouse,104000,36,N/A,N/A
Accommodation,658845,초원리조텔,강원특별자치도 속초시 청봉로5길 19 설악동,Guesthouse,105000,32,N/A,N/A
Accommodation,2571950,초원펜션(제부도 초원펜션),경기도 화성시 서신면 해안길 96-1 null,Guesthouse,62000,31,N/A,N/A
Accommodation,2598985,초전고택,경상북도 청송군 파천면 송소고택길 35-3 null,B02011600,51000,35,N/A,N/A
Accommodation,2708657,초정행궁,충청북도 청주시 청원구 내수읍 초정약수로 851 null,B02011600,87000,33,N/A,N/A
